Zone BACK Infiltration Hybrid Model Air Change Rate solved with T,Zone CORE Infiltration Hybrid Model Air Change Rate solved with T,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with T,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with T,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with T,Zone BACK Infiltration Hybrid Model Air Change Rate solved with CO2,Zone CORE Infiltration Hybrid Model Air Change Rate solved with CO2,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with CO2,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
2.002642585,2.019146785,2.060475818,2.027315284,2.016969761,4.380259474,4.380591065,4.381075963,4.380588209,4.380446875,2.59827277,2.600479043,2.604417083,2.600769987,2.599706052
2.031989365,2.050968274,2.083388288,2.053700709,2.044605737,2.64661712,2.646440663,2.646170712,2.646436779,2.646513613,2.600381822,2.60273593,2.606185392,2.602746402,2.601734951
0.22385455,0.24075574,0.247179261,0.234631084,0.226942806,0.816566892,0.816598493,0.816439928,0.816506158,0.816526554,0.785361012,0.786962111,0.787202798,0.786031685,0.785819108
0.305093566,0.342661977,0.338892975,0.321111616,0.315435548,1.064667629,1.064825503,1.064837504,1.064727373,1.064747319,0.786039869,0.788270004,0.788502711,0.786696103,0.787157032
0.356892091,0.41229505,0.409492977,0.373674285,0.386353078,1.181924869,1.181880271,1.181868898,1.18192164,1.181906288,0.781809194,0.784282059,0.78520193,0.782427171,0.783377531
0.359693353,0.420924842,0.433709268,0.377174867,0.406922294,1.166109933,1.166087613,1.166096221,1.166113522,1.166127833,0.778929114,0.78168948,0.783253444,0.77949555,0.780370635
0.406971793,0.484267665,0.510006812,0.423364146,0.456791678,1.190846364,1.190811535,1.190798383,1.190848349,1.190863772,0.774526771,0.77757171,0.78011423,0.775059332,0.775504842
0.415644489,0.516000501,0.590996142,0.433596753,0.447916392,1.21389504,1.213808307,1.21372407,1.213877472,1.213845085,0.770945494,0.774239735,0.776751606,0.77145122,0.77156367
0.527598031,0.640472269,0.701491769,0.536619783,0.548083675,1.115368737,1.115461436,1.115438697,1.115418409,1.115376055,0.768229794,0.771866069,0.773643926,0.768841993,0.768756044
0.700937273,0.799085237,0.855461983,0.726478685,0.717328049,1.222594636,1.222532533,1.22251382,1.222602258,1.222596904,0.765381298,0.768801541,0.770259033,0.766344076,0.765923328
