S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
2.83707523,2.724596773,2.836615429,2.837021659,2.837030528,2.579794939,2.582043067,2.581628344,2.58025305,2.580309467
2.129661298,1.898983372,2.129204561,2.12957039,2.129546955,2.576222671,2.578141981,2.57790462,2.576662727,2.576711669
0.84846638,1.271018308,0.848493878,0.848485415,0.848488074,2.573301895,2.575316333,2.574882551,2.573694816,2.57373143
2.476757227,2.260559755,2.476398444,2.476661458,2.476671591,2.570537355,2.572430695,2.57202556,2.570905775,2.570934821
4.272917779,0.036492036,4.274547746,4.273308474,4.273272403,2.568132353,2.570013085,2.569532315,2.568473737,2.568496102
2.206995427,2.890394615,2.206826255,2.206988419,2.206971373,2.564628132,2.566401534,2.566005784,2.564974296,2.564990096
3.105836018,0.023055006,3.105447942,3.105667881,3.106131234,2.562824849,2.564619243,2.564122347,2.563140302,2.563149645
4.454130182,2.863220172,4.453956215,4.454091563,4.454082059,2.564096897,2.565854013,2.565310105,2.564389143,2.564394679
3.35317916,0.411660811,3.348883605,3.352650565,3.352644722,2.564075509,2.565766156,2.565205544,2.564348446,2.564350866
3.2534541,7.972603843,3.253357022,3.253341235,3.253342684,2.559985462,2.561731963,2.561042951,2.560223523,2.56022056
4.389880283,0.704095713,4.389886355,4.389100548,4.389104999,2.560047978,2.562112391,2.560983091,2.560210758,2.5602053
1.554608219,1.467231307,1.554654127,1.554603149,1.554604056,2.56515881,2.567165625,2.566018258,2.565304718,2.565296731
0.33819551,0.272520623,0.338284349,0.338214397,0.338213283,0.774650114,0.775908483,0.774933498,0.774658287,0.774678559
0.76834867,0.658588031,0.768464701,0.768356412,0.76836715,0.778360805,0.780142161,0.778738595,0.77833248,0.778445318
0.492304196,0.449115648,0.492572945,0.492280358,0.492345616,0.781894225,0.783840857,0.782332981,0.781842625,0.781980338
0.726228208,0.673563976,0.72638291,0.726209982,0.726251848,0.783459153,0.785415795,0.78400617,0.783395932,0.78354685
0.6539073,0.601414316,0.654048993,0.653888771,0.653910655,0.784205334,0.786283012,0.784846609,0.784121281,0.784242875
1.069251435,0.897198159,1.069258874,1.069265105,1.069259906,0.784180879,0.78642453,0.784890162,0.784092359,0.784158694
0.573686303,0.583238143,0.573707547,0.573681016,0.573673969,0.784502752,0.786928948,0.785262015,0.784445603,0.784439945
0.639026877,0.667143937,0.639100312,0.639028582,0.639017964,0.785533021,0.7879325,0.786224187,0.785525772,0.7854619
1.181354492,1.073756837,1.181340711,1.181402307,1.181377311,0.785769188,0.787780743,0.786407336,0.785859255,0.7857282
0.991439589,0.856685003,0.991351228,0.991456684,0.991459774,0.786065033,0.787989721,0.786563948,0.786170447,0.786053685
0.529667987,0.6237578,0.529548244,0.529647088,0.529676996,0.783750174,0.785463478,0.784106648,0.783786293,0.78375805
0.815454779,0.787395045,0.815341924,0.815436879,0.815435278,0.781493252,0.782983227,0.781829341,0.781522574,0.781523129
2.725065523,2.633048556,2.724792655,2.725068287,2.725060786,2.58421211,2.586358833,2.585251134,2.58448642,2.584494164
1.655347797,1.569686518,1.655116487,1.655295888,1.655296379,2.575975413,2.57791971,2.576946254,2.576253555,2.576239586
0.542455811,1.155446497,0.542736573,0.542493161,0.542488338,2.571708259,2.573835902,2.572630211,2.57193525,2.571917982
2.7837319,2.533028511,2.783540728,2.783698723,2.783700865,2.569431534,2.571460125,2.570301102,2.569645272,2.569618294
0.530789782,0.771873972,0.530600414,0.530757919,0.530748067,2.564580928,2.566625684,2.565399264,2.564768841,2.564738745
0,2.48674025,0,1.23E-14,2.14E-14,0,0,0,0,0
0,0.298859136,0,1.05E-14,1.32E-14,0,0,0,0,0
0,0.162220111,0,5.33E-15,8.77E-15,0,0,0,0,0
0,0.062580803,0,3.11E-15,3.39E-15,0,0,0,0,0
0,0.043398522,0,3.57E-15,3.51E-15,0,0,0,0,0
0.074241763,0.007912557,0.074230123,0.074234681,0.074234782,0,0,0,0,0
0.311553253,0.318981445,0.311510836,0.311534061,0.311533197,0,0,0,0,0
0.320797074,0.40374495,0.320753161,0.320779327,0.320795172,0,0,0,0,0
1.964742388,2.482701236,1.966653076,1.963911882,1.964432237,0,0,0,0,0
0.079119152,0.054923771,0.079074111,0.079140974,0.079114743,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.184742599,0.154849431,0.184912463,0.18469235,0.184727096,0,0,0,0,0
0.068202969,0.092358468,0.068263105,0.06818465,0.068196177,0,0,0,0,0
0.071553901,0.103721085,0.071558323,0.071551463,0.071553222,0,0,0,0,0
0.072655038,0.123252985,0.072654527,0.07265234,0.072654059,0,0,0,0,0
0.089457607,0.14185492,0.089452418,0.089458402,0.089459044,0,0,0,0,0
0.096370689,0.12968062,0.096355055,0.096371405,0.096372945,0,0,0,0,0
0.013462223,0.06926804,0.013449963,0.013463173,0.013464802,0,0,0,0,0
