Date/Time,CORE_ZN ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_1 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_2 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_3 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_4 ZN:Zone People Occupant Count [](Hourly),ATTIC ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_1 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_2 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_3 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_4 ZN:Zone Infiltration Air Change Rate [ach](Hourly) 
 01/07  12:00:00,0.0,0.0,0.0,0.0,0.0,1.048247696405897,0.08019602034504665,0.08864456471494657,0.0784002613645102,0.0880665304098569 
 01/07  13:00:00,0.0,0.0,0.0,0.0,0.0,1.0573085268072378,0.07176089444417096,0.07895417222305552,0.06989160734656282,0.07857163329649673 
 01/07  14:00:00,0.0,0.0,0.0,0.0,0.0,1.0566606396393644,0.07574597748314729,0.08316652002589778,0.07365136260784115,0.08304559010103034 
 01/07  15:00:00,0.0,0.0,0.0,0.0,0.0,1.0496250366946423,0.06977136522316269,0.07661766570840371,0.06788015880355568,0.07680566158533155 
 01/07  16:00:00,0.0,0.0,0.0,0.0,0.0,1.0347908031041096,0.06823672252013402,0.07510798856134127,0.0665874040619605,0.07553742496532255 
 01/07  17:00:00,0.0,0.0,0.0,0.0,0.0,1.0194127027900959,0.07567968985826652,0.0837148946044232,0.07427693295548381,0.08413861028497978 
 01/07  18:00:00,0.0,0.0,0.0,0.0,0.0,1.0032669514753403,0.06165175483120528,0.068448236781581,0.06077062863306002,0.06864881007125919 
 01/07  19:00:00,0.0,0.0,0.0,0.0,0.0,0.9957646784450424,0.21428465955052843,0.23842660199774938,0.2118479978109081,0.2388867593458415 
 01/07  20:00:00,0.0,0.0,0.0,0.0,0.0,0.9917109635776674,0.17755936860276623,0.1978215064103316,0.175837590632924,0.19809798568917706 
 01/07  21:00:00,0.0,0.0,0.0,0.0,0.0,0.9902006192260818,0.1432736145294102,0.15978582154516675,0.14206510742426696,0.1599514771107026 
