Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/13  10:00:00,1.524147963,1.255858575,1.524252532,1.524137443,1.524230642
 01/13  11:00:00,0.715408301,0.6668732,0.715787003,0.715329392,0.715458879
 01/13  12:00:00,1.596928391,1.3045705,1.597426275,1.596956705,1.597039504
 01/13  13:00:00,1.490346804,1.126065042,1.490812617,1.490464913,1.490304328
 01/13  14:00:00,0.89360406,0.810803387,0.89345971,0.893550495,0.893630361
 01/13  15:00:00,1.518375468,1.335112588,1.518538047,1.51851254,1.518319112
 01/13  16:00:00,1.578729544,1.357680333,1.578636888,1.578857033,1.578673147
 01/13  17:00:00,0.91959607,0.815299708,0.919840679,0.919684592,0.919631479
 01/13  18:00:00,1.529688672,1.384837532,1.528542683,1.5295089,1.52948124
 01/13  19:00:00,1.376329285,1.264784104,1.374064821,1.375630531,1.376060175
 01/13  20:00:00,2.946864435,2.776912553,2.943901856,2.945771058,2.946554593
 01/13  21:00:00,2.689905533,2.242985244,2.688406568,2.689301182,2.689724857
 01/13  22:00:00,2.444009209,2.266172495,2.443008869,2.443608535,2.443876159
 01/13  23:00:00,2.415822573,2.205275988,2.414678149,2.41537997,2.415696581
 01/13  24:00:00,2.309168479,2.038502783,2.308654104,2.308927599,2.309057594
 01/14  01:00:00,4.93456871,5.121170997,4.932989148,4.933897854,4.934409303
 01/14  02:00:00,2.964578486,2.856657003,2.962481984,2.96372466,2.964249839
 01/14  03:00:00,3.08063518,2.37622019,3.079570109,3.080214644,3.080595577
 01/14  04:00:00,2.440260214,1.530974148,2.439824787,2.440299629,2.439976839
 01/14  05:00:00,3.59542183,5.014577252,3.594161643,3.594940277,3.595274996
 01/14  06:00:00,3.305911556,5.423575743,3.304573783,3.305341819,3.30576322
 01/14  07:00:00,4.106918654,1.949212069,4.106594607,4.106856466,4.106913019
