Date/Time,Baseline - Electricity:Facility [J](Hourly),Baseline - Gas:Facility [J](Hourly) ,Calibrating - Electricity:Facility [J](Hourly),Calibrating - Gas:Facility [J](Hourly) ,Target - Electricity:Facility [J](Hourly),Target - Gas:Facility [J](Hourly) 
 01/15  21:00:00,61763956.52,3270962.797,62773232.63,6617526.822,60877444.67,27292544.21
 01/15  22:00:00,60477919.4,1671374.777,62773232.63,12878446.12,60877444.67,35931457.32
 01/15  23:00:00,45316022.84,5673465.736,47509226,22400901.02,47107465.53,53964027.66
 01/15  24:00:00,38377838.01,14473508.9,39877222.68,33504594.41,40222475.95,66372538.39
 01/16  01:00:00,34633452.83,1671383.163,35327271.32,1853993.127,34580257.57,1765186.451
 01/16  02:00:00,34633452.83,1671353.495,35327271.32,1854141.463,34580257.57,3458328.328
 01/16  03:00:00,34633452.83,3270618.52,35327271.32,3636184.499,34580257.57,1765149.894
 01/16  04:00:00,34633452.83,1671277.265,35327271.32,1854056.651,34580257.57,1765235.337
 01/16  05:00:00,34633452.83,1671258.14,35327271.32,1854035.356,34580257.57,3458327.001
 01/16  06:00:00,45316022.84,33978945.65,47509226,58702291.75,47107465.53,106171634.7
 01/16  07:00:00,45316022.84,37420127.15,47509226,67749387.08,47107465.53,110139645.7
 01/16  08:00:00,63837006.18,21980292.91,68805483.26,54563955.39,65415667.82,73719743.18
 01/16  09:00:00,107435883.6,50388377.94,118610599.6,172246255.9,105272079.3,101541501
 01/16  10:00:00,107435883.6,40630017.36,118610599.6,156517628.2,105272079.3,114553864.2
 01/16  11:00:00,107435883.6,34484288.19,118610599.6,154460793.3,105272079.3,108268828.3
 01/16  12:00:00,107435883.6,29561339.63,118610599.6,149401869.4,105272079.3,115284048.2
 01/16  13:00:00,110774568.2,4872603.513,118610599.6,50635181.04,105272079.3,34711783.55
 01/16  14:00:00,107435883.6,19750235.87,118610599.6,141210554.2,105272079.3,98534049.82
 01/16  15:00:00,107435883.6,9788692.592,118610599.6,125889199.7,105272079.3,97391083.71
 01/16  16:00:00,107435883.6,10355676.34,118610599.6,124248157.5,105272079.3,43474527.59
 01/16  17:00:00,107435883.6,14448278.32,118610599.6,128989981,105272079.3,63243372.32
 01/16  18:00:00,85988183.24,3271813.656,89960127.67,25441651.29,82991533.28,78410777.58
 01/16  19:00:00,75264462.56,3271477.282,78152432.28,8298031.145,74647423.82,26813438.5
 01/16  20:00:00,73115411.19,15167279.26,78037239.26,40289916.36,74647423.82,77649219.8
 01/16  21:00:00,59192392.51,27482021.23,62773232.63,55945424.81,60877444.67,100215597
 01/16  22:00:00,59192392.51,34081683.34,62773232.63,63859040.48,60877444.67,107484542.5
 01/16  23:00:00,45316022.84,38747784.87,47509226,65452941.02,47107465.53,112931367.3
 01/16  24:00:00,38377838.01,47360875,39877222.68,76876641.37,40222475.95,129299692.5
 01/17  01:00:00,34633452.83,1671389.291,35327271.32,1854181.519,34580257.57,1765236.217
 01/17  02:00:00,34633452.83,3270716.112,35327271.32,3636293.505,34580257.57,3458418.269
 01/17  03:00:00,34633452.83,1671333.623,35327271.32,1854119.563,34580257.57,1765181.61
 01/17  04:00:00,34633452.83,1671384.453,35327271.32,1854176.159,34580257.57,3458313.32
 01/17  05:00:00,34633452.83,1671436.537,35327271.32,1854234.139,34580257.57,1765308.168
 01/17  06:00:00,38377838.01,40771157.43,39877222.68,56994174.91,40222475.95,70756315.89
 01/17  07:00:00,45316022.84,41864131.91,47509226,68757443.72,47107465.53,75589379.24
 01/17  08:00:00,36084266.84,43352187.12,38277470,69678348.81,37875709.53,75403150.39
 01/17  09:00:00,45373494.18,43303325.83,50341971.26,93394167.71,46952155.82,89125764.16
