Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 12/25  01:00:00,1.36111536,4.94079331,1.337445665,0.850353732,0.848681451,0,0,0,0,0
 12/25  02:00:00,1.604934799,5.917637015,1.604934799,1.004266667,1.004266667,0,0,0,0,0
 12/25  03:00:00,1.303471271,5.917242901,1.292875214,0.81136888,0.839226721,0,0,0,0,0
 12/25  04:00:00,0.545606796,5.353946444,0.520065904,0.331957413,0.372483743,0,0,0,0,0
 12/25  05:00:00,0.208410796,3.970688411,0.201086694,0.109026827,0.147550768,0,0,0,0,0
 12/25  06:00:00,0,0.012739499,0,0,0,0,0,0,0,0
 12/25  07:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  08:00:00,0,0.780366294,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  09:00:00,0.521065845,3.210435025,0.163781472,0.237664353,0.277165934,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  10:00:00,1.290748134,4.828925024,1.060250443,0.730663701,0.796323004,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  11:00:00,1.48953504,4.681269142,1.700999057,0.865879834,1.019277583,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  12:00:00,1.11010179,2.906714995,1.533390841,0.621016565,0.691364894,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  13:00:00,0.742324067,1.752912425,0.616425182,0.37919693,0.391171867,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  14:00:00,0.241771718,1.027839896,0.349603128,0.242960308,0.112655666,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  15:00:00,0.072123117,0.84994521,0.25576071,0.245963929,0.03704327,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  16:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  17:00:00,0.233877287,4.179470543,0.048242326,0.091283092,0.101110871,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
