Uncalibrated_Electricity_J,Uncalibrated_Gas_J,Target_Electricity_J,Target_Gas_J,,,,,,,,
53228931.23,0,53501354.73,0,-272423.5,0,,,,,,
59476891.22,0,59788927.66,0,-312036.44,0,,,,,,
59281384.55,18003822.29,59022421.69,17669902.21,258962.86,333920.08,,,,,,
54668934.74,3856394.749,54146571.33,2988613.011,522363.41,867781.738,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
10977457.96,0,10977457.96,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
11957857.96,0,11957857.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
10977457.96,0,10977457.96,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
11957857.96,0,11957857.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
63655652.27,72895384.37,63549021.38,66111501.93,106630.89,6783882.44,,,,,,
63187673.4,35785975.88,63066872.62,34768226.45,120800.78,1017749.43,,,,,,
66448556.77,570135.8817,67036600.41,724576.2049,-588043.64,-154440.3232,,,,,,
56392148.4,0,57162512.92,0,-770364.52,0,,,,,,
49842578.05,0,50360589.23,0,-518011.18,0,,,,,,
45137494.93,0,45545173.43,0,-407678.5,0,,,,,,
41351962.64,0,41623279.9,0,-271317.26,0,,,,,,
40357475,0,40409284.31,0,-51809.31,0,,,,,,
39984272.99,0,40029928.37,0,-45655.38,0,,,,,,
39893562.22,0,39903905.96,0,-10343.74,0,,,,,,
41904679.84,0,41956202.76,0,-51522.92,0,,,,,,
37347712.56,0,37265738.98,0,81973.58,0,,,,,,
30374651.03,0,29948256.26,0,426394.77,0,,,,,,
18752831.29,0,18752831.29,0,0,0,,,,,,
16772092.4,0,16772092.4,0,0,0,,,,,,
16772092.4,0,16772092.4,0,0,0,,,,,,
14989427.41,0,14989427.41,0,0,0,,,,,,
13999057.96,0,13999057.96,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
46857985.3,4982917.763,44622815.16,4266560.631,2235170.14,716357.132,,,,,,
43675843.9,0,43356677.11,0,319166.79,0,,,,,,
45175283.82,0,45637115.4,0,-461831.58,0,,,,,,
41762269.08,0,42005122.64,0,-242853.56,0,,,,,,
40585667.78,0,40660576.87,0,-74909.09,0,,,,,,
41495631.4,0,41407004.64,0,88626.76,0,,,,,,
37261149.92,0,37228654.65,0,32495.27,0,,,,,,
41697651.76,0,41662876.93,0,34774.83,0,,,,,,
40510570.26,0,40473601.6,0,36968.66,0,,,,,,
39938383.23,0,39924621.22,0,13762.01,0,,,,,,
41854362.22,0,41854362.22,0,0,0,,,,,,
35301766.06,0,35261215.17,0,40550.89,0,,,,,,
28158608.61,0,27649849.5,0,508759.11,0,,,,,,
18752831.29,0,18752831.29,0,0,0,,,,,,
16772092.4,0,16772092.4,0,0,0,,,,,,
16772092.4,0,16772092.4,0,0,0,,,,,,
14989427.41,0,14989427.41,0,0,0,,,,,,
13999057.96,0,13999057.96,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
17742654.46,0,17742654.46,0,0,0,,,,,,
18733023.9,0,18733023.9,0,0,0,,,,,,
39817649.83,0,37799421.88,0,2018227.95,0,,,,,,
37019151.8,0,36730696.44,0,288455.36,0,,,,,,
43190205.99,0,43678774.06,0,-488568.07,0,,,,,,
41131899.83,0,41630326.34,0,-498426.51,0,,,,,,
40347295.81,0,40691596.28,0,-344300.47,0,,,,,,
40207991,0,40496623.17,0,-288632.17,0,,,,,,
40620252.68,0,40919711.53,0,-299458.85,0,,,,,,
41421049.49,0,41553528.98,0,-132479.49,0,,,,,,
41942409.47,0,42136935.26,0,-194525.79,0,,,,,,
42689997.11,0,42879860.55,0,-189863.44,0,,,,,,
45521904.94,0,45717018.8,0,-195113.86,0,,,,,,
45146178.11,0,44976894.15,0,169283.96,0,,,,,,
36503371.84,0,35998548.74,0,504823.1,0,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
57670135.84,10828594.21,55157919.74,8532317.75,2512216.1,2296276.46,,,,,,
52106550.39,6081897.292,51779878.07,6048671.621,326672.32,33225.671,,,,,,
53042975.32,0,53923453.41,0,-880478.09,0,,,,,,
50000846.2,0,50915800.73,0,-914954.53,0,,,,,,
48325478.02,0,49263182.12,0,-937704.1,0,,,,,,
47097418.33,0,48238600.26,0,-1141181.93,0,,,,,,
50915152.63,0,51265210.95,0,-350058.32,0,,,,,,
45869268.65,0,46028545.49,0,-159276.84,0,,,,,,
45969370.59,0,46295677.19,0,-326306.6,0,,,,,,
46764994.68,0,47071626.87,0,-306632.19,0,,,,,,
49811887.52,0,50183788.36,0,-371900.84,0,,,,,,
52382959.08,3139204.572,52137122.9,2968719.607,245836.18,170484.965,,,,,,
43974123.63,0,43231046.56,0,743077.07,0,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
