Target_Electricity_J,Target_Gas_J,Uncalibrated_Electricity_J,Uncalibrated_Gas_J
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
4527614.032,25240669.46,4527614.032,25433447.62
4527614.032,25160502.86,4527614.032,25430243.49
4527614.032,24805843.04,4527614.032,25048572.96
4527614.032,24384009.55,4527614.032,24843656.05
4527614.032,23413928.78,4527614.032,24738776.73
4527614.032,22406301.29,4527614.032,24620487.92
5154848.013,21588341.62,5154848.013,22317212.9
5154848.013,21028102.12,5154848.013,21410307.11
4174448.013,20462396.38,4174448.013,20773409.93
4174448.013,19978458.36,4174448.013,20168071.83
4174448.013,19542898.34,4174448.013,19658330.61
4174448.013,19145092.4,4174448.013,19197998.26
6798927.037,16118470.2,6798927.037,15799922.33
6798927.037,15339425.64,6798927.037,14711074.23
6798927.037,14027999.14,6798927.037,13491901.73
6798927.037,13269410.83,6798927.037,12820123.99
6798927.037,12620127,6798927.037,12065822.19
6798927.037,12031497.88,6798927.037,11441182.34
6798927.037,11353253.16,6798927.037,10755310.27
6798927.037,10715337.42,6798927.037,10111278.95
6798927.037,10056887.57,6798927.037,9462284.936
6798927.037,9474387.409,6798927.037,8880517.772
11226224.35,1271029.608,11005442.25,1085388.009
10933651.51,1135821.805,10707675.57,957026.1159
10679958.23,1017946.838,10448422.2,836182.1896
10444312.87,901475.8973,10208396.95,717085.1592
10236548.21,785995.2006,9995602.997,599287.2663
10064372.01,672726.0006,9827578.345,483979.8232
9899645.095,560519.8538,9668340.383,369974.4481
9745036.238,449194.129,9517222.857,257065.5032
9633527.764,375496.8432,9399489.379,175230.6697
9524400.097,302466.2938,9343053.112,94323.72452
9446021.726,230105.5285,9302987.507,14338.30394
9398633.369,159371.9809,9226784.502,0
9351922.31,89154.1415,9140259.744,0
9305895.708,19400.25482,9057251.142,0
9900497.889,167208.1534,9754162.147,292750.5488
9914450.318,0,9850398.189,0
9832937.155,0,9788126.84,0
9734272.681,0,9688829.182,0
9638107.687,0,9592025.41,0
9545250.963,0,9498534.599,0
8594244.649,0,8572410.001,0
8494221.073,0,8470959.508,0
8402111.119,0,8377057.022,0
8317300.853,0,8292572.364,0
8237096.518,0,8211711.977,0
8160298.672,0,8134183.966,0
8091344.75,0,8065191.967,0
8024277.243,0,7997215.073,0
7961168.364,0,7933634.688,0
7915442.901,0,7887508.156,0
7882213.78,0,7853880.932,0
7851142.92,0,7822418.893,0
7844921.446,0,7815563.067,0
7843532.447,0,7813896.429,0
7856447.558,0,7826757.805,0
7882839.597,0,7840744.52,0
7957931.346,0,7921100.216,0
8026347.69,0,7986296.03,0
8139117.599,0,8097629.516,0
8255748.109,0,8213779.949,0
9426098.181,0,9383139.051,0
9528203.216,0,9483933.52,0
9619349.327,0,9574098.969,0
9708044.672,0,9661613.633,0
9137308.638,1242965.474,9186440.143,1273261.298
9220421.109,1343049.84,9271546.371,1373660.549
9284217.419,1417891.778,9336418.032,1448903.643
9345021.079,1508575.658,9398494.705,1540165.514
9402361.358,1592812.389,9456670.798,1624177.51
9462814.963,1672938.105,9517646.33,1703637.453
8116580.04,0,8251985.996,0
8228657.703,0,8369197.446,0
8323154.267,0,8467243.993,0
8412722.741,0,8561605.918,0
8499550.668,0,8646241.232,0
8581631.437,0,8711455.108,31485.67073
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
4527614.032,25472874.83,4527614.032,25647451.35
4527614.032,25466054.74,4527614.032,25727215.81
4527614.032,25055307.9,4527614.032,25312957.22
4527614.032,24820379.03,4527614.032,25040665.13
4527614.032,24347832.36,4527614.032,24896492.17
4527614.032,22931822.41,4527614.032,24766495.06
5154848.013,22177991.68,5154848.013,23123476
5154848.013,21486587.64,5154848.013,22055863.85
4174448.013,20851799.13,4174448.013,21387616.5
4174448.013,20297566.61,4174448.013,20728082.46
4174448.013,19792679.1,4174448.013,20177729.24
4174448.013,19330305.03,4174448.013,19687908.2
6798927.037,16082218.92,6798927.037,16172887.65
6798927.037,15022336.57,6798927.037,15292528.26
6798927.037,14000974.11,6798927.037,13831667.79
6798927.037,13255830.44,6798927.037,13007873.6
6798927.037,12652130.83,6798927.037,12307918.16
6798927.037,12115287.61,6798927.037,11685875.84
6798927.037,11511072.68,6798927.037,11075958.26
