Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/11  12:00:00,12527207.95091783,7967520.164978638 
 01/11  13:00:00,12527207.95091783,2244223.535764765 
 01/11  14:00:00,12527207.95091783,3458694.8163011365 
 01/11  15:00:00,12527207.95091783,3458554.83433674 
 01/11  16:00:00,12527207.95091783,6506470.212267851 
 01/11  17:00:00,12527207.95091783,13382495.515597905 
 01/11  18:00:00,40222475.95091783,21462633.22169971 
 01/11  19:00:00,34580257.57450944,1765151.10710827 
 01/11  20:00:00,34580257.57450944,1765187.9366161712 
 01/11  21:00:00,34580257.57450944,1765116.205888016 
 01/11  22:00:00,34580257.57450944,3458637.150675065 
 01/11  23:00:00,34580257.57450944,1765162.9592427184 
 01/11  24:00:00,34580257.57450944,3458227.9009201128 
 01/12  01:00:00,34580257.57450944,1765131.2278467932 
 01/12  02:00:00,34580257.57450944,1765233.0627842027 
 01/12  03:00:00,34580257.57450944,3458317.6387359539 
 01/12  04:00:00,34580257.57450944,1765239.158561576 
 01/12  05:00:00,34580257.57450944,3458341.4168992044 
 01/12  06:00:00,47107465.52542727,128022652.0084685 
 01/12  07:00:00,47107465.52542727,131295211.67237257 
 01/12  08:00:00,65415667.82346502,94804070.53032312 
 01/12  09:00:00,105272079.3175783,154190920.0086204 
 01/12  10:00:00,105272079.3175783,111773141.61501348 
 01/12  11:00:00,105272079.3175783,151145796.19885407 
 01/12  12:00:00,105272079.3175783,95820225.26336602 
 01/12  13:00:00,105272079.3175783,57674016.821623418 
 01/12  14:00:00,105272079.3175783,129446474.18842966 
 01/12  15:00:00,105272079.3175783,81404598.10492349 
 01/12  16:00:00,105272079.3175783,78435016.89327325 
 01/12  17:00:00,105272079.3175783,116466895.0214104 
 01/12  18:00:00,87607411.2815028,51610550.166781079 
 01/12  19:00:00,74647423.82346502,30074350.93575707 
 01/12  20:00:00,74647423.82346502,73891936.8509377 
 01/12  21:00:00,60877444.67444614,89030225.30417423 
 01/12  22:00:00,60877444.67444614,90785874.98482417 
 01/12  23:00:00,47107465.52542727,98962587.92518907 
 01/12  24:00:00,40222475.95091783,102858158.75937596 
 01/13  01:00:00,34580257.57450944,3458273.504263496 
 01/13  02:00:00,34580257.57450944,1765195.554496857 
 01/13  03:00:00,34580257.57450944,1765134.7142385734 
 01/13  04:00:00,34580257.57450944,3458384.1237116 
 01/13  05:00:00,34580257.57450944,1765098.1252438264 
 01/13  06:00:00,47107465.52542727,118026761.73213479 
 01/13  07:00:00,47107465.52542727,116777155.69248533 
 01/13  08:00:00,65415667.82346502,80467872.86775778 
 01/13  09:00:00,105272079.3175783,122849548.96746362 
 01/13  10:00:00,105272079.3175783,85910761.57843355 
 01/13  11:00:00,105272079.3175783,115133962.90350193 
 01/13  12:00:00,105272079.3175783,51079294.74841603 
 01/13  13:00:00,106309054.56346166,10768506.71948873 
 01/13  14:00:00,105272079.3175783,54438718.23042731 
 01/13  15:00:00,105272079.3175783,17686837.01953868 
 01/13  16:00:00,105858188.63350038,5154699.054448949 
 01/13  17:00:00,105272079.3175783,37533740.99080803 
 01/13  18:00:00,83464564.69968185,12512380.472390244 
 01/13  19:00:00,74964788.85203913,5969679.917087529 
 01/13  20:00:00,74647423.82346502,46433989.2974754 
 01/13  21:00:00,60877444.67444614,67713458.52673835 
 01/13  22:00:00,60877444.67444614,78815357.34241104 
 01/13  23:00:00,47107465.52542727,88200479.24209877 
 01/13  24:00:00,40222475.95091783,98538266.04745803 
 01/14  01:00:00,34580257.57450944,1765187.2733926248 
 01/14  02:00:00,34580257.57450944,1765127.1893244624 
 01/14  03:00:00,34580257.57450944,3458401.422202142 
 01/14  04:00:00,34580257.57450944,1765118.6716894517 
 01/14  05:00:00,34580257.57450944,3458330.984839176 
 01/14  06:00:00,47107465.52542727,104887930.14585416 
 01/14  07:00:00,47107465.52542727,94582765.28185305 
 01/14  08:00:00,65415667.82346502,60424418.09083286 
 01/14  09:00:00,105272079.3175783,74007402.22577627 
 01/14  10:00:00,105272079.3175783,27496769.293337455 
 01/14  11:00:00,105311410.5666586,18535740.439292596 
