Date/Time,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  02:00:00,2.840920295205357e-15,0.0,1.707887192498045e-15,0.0,2.268531469827189e-15,34633452.83331995,3626167.7798997049 
 01/04  03:00:00,3.1837847426474388e-15,0.0,5.479794458942508e-16,4.2355002876025826e-16,1.676818766424334e-15,34633452.83331995,1849147.0235224583 
 01/04  04:00:00,2.49362522547909e-15,0.0,0.0,3.9012204658383836e-16,4.081485225535488e-16,34633452.83331995,1848997.2220172389 
 01/04  05:00:00,1.944508302500647e-15,0.0,4.885476334012101e-16,0.0,7.788743477886434e-16,34633452.83331995,1849078.4967677142 
 01/04  06:00:00,0.0,0.03585199337362028,0.0,0.0,0.0,39863262.87865018,81210663.01151598 
 01/04  07:00:00,0.04327972352289485,0.09622389555804177,0.04328991837926083,0.04328162281342728,0.043275755535190457,39863262.87865018,81753215.32779272 
 01/04  08:00:00,0.048677523562268187,0.08565531633153796,0.0486870408253966,0.048677435626398268,0.04867813776487665,30631506.87865018,80651553.59143214 
 01/04  09:00:00,0.06639980551012621,0.10395950540875147,0.06643066046620154,0.06639772029691214,0.06642710491388165,12167994.878650181,80582732.1112104 
 01/04  10:00:00,0.07497279135313924,0.11083061292732484,0.07504872492518848,0.07496865147697751,0.07502270961226364,12167994.878650181,67798606.8059083 
 01/04  11:00:00,0.06972002351229473,0.10015485387114642,0.06980778495018658,0.06971199380188996,0.06974014713752576,12167994.878650181,47931086.56367189 
 01/04  12:00:00,0.060399790728762,0.07735540189334542,0.06045630691402628,0.060390536678095057,0.06037857516531619,12167994.878650181,29333811.336169177 
 01/04  13:00:00,0.05779595096384169,0.0714212804500652,0.0579352121287961,0.05778716632922551,0.05777240043267032,12167994.878650181,15794803.009099348 
 01/04  14:00:00,0.05345780127590528,0.06106129242701872,0.053597562242407897,0.053463689876087908,0.05346350304753117,12403799.559916273,3142343.442403894 
 01/04  15:00:00,0.05176960022747346,0.07159664033841128,0.051910021976459417,0.0517996283270889,0.05178188003962534,13702108.417578428,1849072.3234594186 
 01/04  16:00:00,0.047938253413767988,0.08122657222487075,0.04806460618849761,0.04800067199938308,0.04795000952569057,13923671.938051014,1849109.084882386 
 01/04  17:00:00,0.058600705113478309,0.0838815833957064,0.058732850537542759,0.05868702642634529,0.05861842879501222,12551039.881464387,2634577.4095214747 
 01/04  18:00:00,0.06825475112127011,0.08574291895869096,0.06833138881891461,0.06828999370181423,0.06826976381789997,39863262.87865018,15741858.385709262 
 01/04  19:00:00,0.000904578959513431,0.0,0.0009050146916094358,0.0009044679899196774,0.0009054077008475147,34633452.83331995,1849002.7368520909 
 01/04  20:00:00,2.6319775280826334e-15,0.0,1.977296299475727e-15,1.5710280615512597e-15,1.0441763103954099e-15,34633452.83331995,1849133.496447093 
 01/04  21:00:00,1.885323001835349e-15,0.00038615390669066783,2.506991146058568e-15,5.074171915801365e-16,1.5284745916249613e-15,34633452.83331995,1849019.310571433 
 01/04  22:00:00,1.9912293954576845e-15,0.0,2.6837331405838256e-15,5.332596824064837e-16,1.594272859700252e-15,34633452.83331995,1849094.944536124 
 01/04  23:00:00,1.2904836329676849e-15,0.000382993874500197,1.9489136586777629e-15,1.5237819097270914e-15,5.260445922102752e-16,34633452.83331995,3626194.9161333099 
 01/04  24:00:00,1.1808413190084674e-15,0.0,2.9319175853311476e-15,4.561913194634236e-16,1.8464278320670834e-15,34633452.83331995,1849120.129301348 
 01/05  01:00:00,4.648662297196437,4.525618505517336,4.659296750138881,4.653284482571103,4.6515147324025138,34633452.83331995,1849126.5557778315 
 01/05  02:00:00,2.9904489781491589,2.5392172764153586,2.997956015490232,2.9938077452659574,2.992396546690763,34633452.83331995,1849012.9424051177 
 01/05  03:00:00,3.1613481858923246,2.663725894903804,3.1683896685460728,3.1646065730229777,3.1632305643964435,34633452.83331995,3626231.863632404 
 01/05  04:00:00,4.310576506137617,3.007803052384198,4.318103966266681,4.314313724754649,4.312846925673864,34633452.83331995,1849193.7288051099 
 01/05  05:00:00,3.9965073188560149,0.9797675710472729,3.969644855546397,3.993737068407853,3.9970036398946719,34633452.83331995,1849157.2877147548 
 01/05  06:00:00,3.6784151496401238,2.581767396356771,3.6805185351337674,3.679038561369992,3.678712884034264,46801447.71193018,207558682.04913456 
 01/05  07:00:00,2.8613064866123278,2.630756258293892,2.8634906341723758,2.8621670691311817,2.861605239091664,46801447.71193018,209552159.47996474 
 01/05  08:00:00,0.5603875618310085,0.47873945038453588,0.5612592823802513,0.5606484156399997,0.5604776831386943,65322431.04505018,165729112.3115248 
 01/05  09:00:00,0.25425266038226809,0.20060471350689614,0.25743006689156397,0.25529142277508518,0.25509832697474429,108921308.46841015,262073501.14340125 
 01/05  10:00:00,1.414390458123026,1.1418887359316033,1.4184245333095953,1.4151577029077072,1.416058985809595,108921308.46841015,241207815.1257649 
 01/05  11:00:00,0.7820141836107384,0.7269077914428648,0.7862420104776193,0.7825292504426038,0.7832879855001315,108921308.46841015,198999537.8363665 
 01/05  12:00:00,1.6623359164518128,1.3595128346113168,1.669657817457784,1.6628110536074295,1.6635005924208686,108921308.46841015,173455576.28119175 
 01/05  13:00:00,1.4151187468699167,1.0728498190079353,1.422137295665195,1.415449969689585,1.4156159968655955,108921308.46841015,82341630.24730717 
 01/05  14:00:00,0.914453327522538,0.8286250123932257,0.91972102341727,0.9148244080943951,0.9152553516172216,108921308.46841015,126146873.04924539 
 01/05  15:00:00,1.5752886284363686,1.3610630631494143,1.5829623948623458,1.576999239013758,1.5762256680863185,108921308.46841015,118866455.4410902 
 01/05  16:00:00,1.6123220326972403,1.4054211488542912,1.6197096123595428,1.6150591472927725,1.613358557051917,108921308.46841015,111421084.56900648 
 01/05  17:00:00,0.8035757744523795,0.7240319240343505,0.8086879621921801,0.8053611064548699,0.8045674967092543,108921308.46841015,111719598.49847901 
 01/05  18:00:00,1.5174865193782099,1.3794229383759043,1.5210898658630246,1.5187969708979557,1.518010245976888,89589429.23257016,61730422.96382336 
 01/05  19:00:00,1.402663296572715,1.2882027465394524,1.4029605298068922,1.4026032800217177,1.402647982571738,74554187.04505019,57406471.851650457 
